MSE    PSNR      SSIM 
0.23  , 199.05 , 1.00 
Portrait with 58333
MSE    PSNR      SSIM 
0.23  , 199.05 , 1.00 
Portrait with 70014
MSE    PSNR      SSIM 
0.28  , 198.26 , 1.00 
Portrait with high 
MSE    PSNR      SSIM 
1.53  , 190.82 , 1.00 
